"","book_id","no_of_copies_sold","price","year"
"709",12919,29400,12.45,2016
"710",11313,9202,13.4,2016
"711",12190,13105,23.69,2016
"712",14175,91515,10.33,2016
"713",12972,13911,8.55,2016
"714",11545,1089,9.09,2016
"715",12811,3113,8.99,2016
"716",11456,86676,7.74,2016
"717",11141,46407,7.38,2016
"718",13575,15393,3.97,2016
"719",15000,5515,15.2,2016
"720",14877,19082,9.94,2016
"721",13492,54008,4.93,2016
"722",13659,9187,17.99,2016
"723",12094,5802,1.5,2016
"724",13030,35698,9.67,2016
"725",13677,25148,8.55,2016
"726",13066,35414,8.45,2016
"727",14490,14418,25.99,2016
"728",12708,5158,33.9,2016
"729",14870,12674,24.29,2016
"730",11593,10707,14.42,2016
"731",14130,20038,12.92,2016
"732",14281,21068,4.99,2016
"733",11437,26368,5,2016
"734",11979,31196,7.53,2016
"735",12693,8573,5.49,2016
"736",14390,NA,NA,2016
"737",14169,91629,38.86,2016
"738",11139,21527,21.99,2016
"739",13562,32825,9.05,2016
"740",13370,9505,8.47,2016
"741",14955,99932,16.26,2016
"742",13420,13321,23.7,2016
"743",14601,34955,8.29,2016
"744",12815,53161,4.98,2016
"745",13386,18656,6.79,2016
"746",14749,6296,20.72,2016
"747",12968,67291,18.98,2016
"748",14786,47193,4.55,2016
"749",11964,94750,13.29,2016
"750",13316,10074,11.89,2016
"751",12927,42265,24.5,2016
"752",11792,69538,4.14,2016
"753",14857,2405,15.9,2016
"754",14283,9969,11.29,2016
"755",13189,5687,4.44,2016
"756",11104,12981,4.02,2016
"757",12419,29674,6.92,2016
"758",12955,7693,14,2016
"759",13931,9440,5.99,2016
"760",13430,3138,8.49,2016
"761",14048,24815,5.36,2016
"762",11978,11620,9.87,2016
"763",12435,13221,9.89,2016
"764",12047,12517,13.63,2016
"765",13703,10429,14.98,2016
"766",14241,21293,13.5,2016
"767",14080,30584,9.49,2016
"768",11982,9022,27.99,2016
"769",14848,1224,18.98,2016
"770",13720,33589,4.59,2016
"771",11293,24552,9.48,2016
"772",11667,12933,7.99,2016
"773",11037,7920,20.06,2016
"774",13662,7034,5.59,2016
"775",13096,7275,8.08,2016
"776",12729,12578,8.97,2016
"777",14007,1577,9.99,2016
"778",12484,16882,9.9,2016
"779",14136,5205,5.38,2016
"780",11771,6468,9.09,2016
"781",14191,15022,9.99,2016
"782",12745,5120,6.98,2016
"783",11764,15753,8.95,2016
"784",11910,45711,22.95,2016
"785",11483,6281,7.5,2016
"786",12221,72441,7.48,2016
"787",13083,26262,8.48,2016
"788",12489,NA,NA,2016
"789",13601,29732,11.29,2016
"790",11384,8204,8.22,2016
"791",11988,10136,14.39,2016
"792",12357,19898,9.19,2016
"793",12328,35698,9.67,2017
"794",11086,46407,7.38,2017
"795",12111,28447,6.9,2017
"796",13846,80328,14.35,2017
"797",11579,17169,9.89,2017
"798",11975,12578,8.97,2017
"799",14878,29400,12.45,2017
"800",14486,20795,9.49,2017
"801",14635,35236,4.78,2017
"802",14631,15544,14.68,2017
"803",13597,60681,14.35,2017
"804",11472,69866,7.57,2017
"805",13115,35414,8.45,2017
"806",11904,6911,9.99,2017
"807",13372,42848,8.48,2017
"808",11006,29896,11.58,2017
"809",14593,72441,7.48,2017
"810",11693,79094,10.5,2017
"811",12072,36238,13.39,2017
"812",14280,56988,7.63,2017
"813",13803,16958,9,2017
"814",14831,26368,5,2017
"815",11197,86676,7.74,2017
"816",12634,15393,3.97,2017
"817",11117,7082,18.29,2017
"818",14779,25148,8.55,2017
"819",13881,23392,13.4,2017
"820",11355,28111,8.32,2017
"821",14411,3057,15.29,2017
"822",13310,14418,25.99,2017
"823",13021,50209,14.48,2017
"824",13537,12674,24.29,2017
"825",13680,24815,5.36,2017
"826",14074,13726,8.39,2017
"827",14394,6541,17.91,2017
"828",12106,23576,4.98,2017
"829",13490,13883,20.19,2017
"830",12565,69538,4.14,2017
"831",12616,47193,4.55,2017
"832",14899,45711,22.95,2017
"833",11611,54008,4.93,2017
"834",11370,12981,4.02,2017
"835",11209,10751,4.99,2017
"836",11893,7920,20.06,2017
"837",11788,6305,7.99,2017
"838",14518,45965,11,2017
"839",14840,16127,8.99,2017
"840",13527,10039,25,2017
"841",14201,9187,17.99,2017
"842",11060,21828,14.59,2017
"843",12129,24552,9.48,2017
"844",14030,9505,8.47,2017
"845",13479,32079,9.94,2017
"846",14148,2345,12.97,2017
"847",11709,2767,13.99,2017
"848",12706,29732,11.29,2017
"849",11425,31196,7.53,2017
"850",12231,29389,12.7,2017
"851",14453,19007,12.06,2017
"852",14768,18656,6.79,2017
"853",11327,2494,12.49,2017
"854",14965,28308,5.72,2017
"855",11502,15394,12.75,2017
"856",14618,27476,8.14,2017
"857",11676,3262,10.4,2017
"858",11617,20340,6.38,2017
"859",12998,94750,13.29,2017
"860",14131,34955,8.29,2017
"861",13887,23620,13.49,2017
"862",11346,11381,11.34,2017
"863",13409,29674,6.92,2017
"864",13823,53161,4.98,2017
"865",13948,4803,16.05,2017
"866",11537,13911,8.55,2017
"867",13552,12738,4.98,2017
"868",14324,8610,19.95,2017
"869",14163,833,9.45,2017
"870",14049,65787,22.49,2017
"871",11432,39269,14.29,2017
"872",14415,14283,13.79,2017
"873",14942,8856,12.11,2017
"874",12954,6977,8.49,2017
"875",13210,25652,12.87,2017
"876",12418,16852,15.1,2017
